month,cong_disp,lmp_disp,n_days,cum_dcfc_ports,t
2022-01,0.8983398809802444,3.481010736120083,4,912.0,0
2022-02,0.5420428104476477,3.3818968250777512,4,939.0,1
2022-03,2.0988483531092084,3.2894730307500675,4,980.0,2
2022-04,4.125209153095419,5.422842824875924,4,980.0,3
2022-05,1.4163074531307907,2.601372110782435,4,1002.0,4
2022-06,1.0186671721143448,1.9908911559453795,4,1036.0,5
2022-07,0.010064898693881595,1.9572369892752126,4,1070.0,6
2022-08,0.0002235020634322019,1.718703255453882,4,1102.0,7
2022-09,1.1703019401003985,2.1385199556870247,4,1162.0,8
2022-10,1.3194595434733694,2.0107796337200035,4,1166.0,9
2022-11,2.6260575158084936,3.5989434540723555,4,1178.0,10
2022-12,2.2310411844045275,4.560498383227011,4,1219.0,11
2023-01,1.232521219408389,1.9030601120809674,4,1237.0,12
2023-02,0.7284187725100828,1.625724434261105,4,1243.0,13
2023-03,1.8794816059459012,2.3201428080293534,4,1305.0,14
2023-04,0.5296518302715434,1.031822586473096,4,1325.0,15
2023-05,0.47368770083191075,0.7176754294396626,4,1368.0,16
2023-06,0.7359324084153953,1.3121307224817869,4,1418.0,17
2023-07,0.04378747457986176,1.2908574622608047,4,1434.0,18
2023-08,0.14205566787680882,0.6051726414604818,4,1448.0,19
2023-09,0.38375028533185923,1.0072222816909229,4,1489.0,20
2023-10,0.8123160182053615,1.0983386897918717,4,1539.0,21
2023-11,1.3118908986258486,1.862340058842248,4,1557.0,22
2023-12,0.7955022098700961,1.650619596901746,4,1591.0,23
2024-01,0.6329304598475703,2.2893658077458574,4,1624.0,24
2024-02,0.5182089410430244,1.271696823963252,4,1672.0,25
2024-03,0.3004573949625739,0.7514311431690538,4,1739.0,26
2024-04,0.5107803544363104,0.8517317159197632,4,1814.0,27
2024-05,1.215461196253223,1.5923366174667122,4,1929.0,28
2024-06,0.35180402018868917,0.9402221154338656,4,1971.0,29
2024-07,0.06009839118783193,0.8017448348652044,4,2017.0,30
2024-08,0.8300566094533873,1.3185696565728264,4,2088.0,31
2024-09,0.36984594434114787,0.8106090892498758,4,2142.0,32
2024-10,0.5068355093967898,1.1805891019581896,4,2212.0,33
2024-11,1.6617191702546636,2.7708351158325155,4,2298.0,34
2024-12,0.31808858012092117,2.4215356416212734,4,2367.0,35
2025-01,0.5651200654011955,3.486648344390424,4,2425.0,36
2025-02,2.6388578083363936,4.82174126234974,4,2487.0,37
2025-03,1.4265461323766733,1.9706524127562326,4,2523.0,38
2025-04,3.2656876262932633,3.9805086824301554,4,2613.0,39
2025-05,3.3783312492964517,3.867702621808446,4,2720.0,40
2025-06,0.5869627593121816,1.1107126638000284,4,2809.0,41
2025-07,0.5969821975980254,2.1695401766207736,4,2893.0,42
2025-08,0.10132689351286131,0.9828393179185139,4,2993.0,43
2025-09,0.10917031574614902,0.7781223292926256,4,3067.0,44
2025-10,1.1982524060831095,1.673881977632957,4,3148.0,45
2025-11,1.0400697722900514,1.9629897191483907,4,3201.0,46
2025-12,3.5481566594924736,6.4696905531874025,4,3306.0,47
2026-01,3.8107600379057622,8.550944733329176,4,3340.0,48
2026-02,0.6602349487144588,3.3132389614396898,4,3364.0,49
2026-03,0.30652252573280575,1.3051222837609384,4,3420.0,50
2026-04,1.8590552829155886,2.591715002589983,4,3450.0,51
2026-05,3.086913921164487,4.238122615909059,4,3612.0,52
2026-06,0.761563121885406,2.104994555491465,4,3660.0,53
